NAME,ID,HIST_DATE,ARCH_DATE_MIN,ARCH_DATE_MAX,ARCH_DATE_MID,ALTITUDE,TERR_UNDUL,LAND_TYPE,LAND_TYPE_SIMP,ALA,DIST_PRAGUE,DIST_MAJTOWN,DIST_MONAST,DIST_MAJROAD,DIST_MAJRIV,STATUS,LONG,LAT
Bělokozly,2,1436,1400,1500,1450,449,6.58,7,6+7,0,43349,17943,3070,18844,1374,0,-712269.5809,-1073783.102
Záhoří,4,1544,1400,1500,1450,501,5.56,7,6+7,0,117569,10718,12567,9344,40034,0,-859429.6075,-1057946.168
Černěves,6,1468,1400,1500,1450,428,1.97,8,8,0,109850,4940,27928,2057,18010,0,-772935.8935,-1148660.186
Nová Ves,7,1560,1400,1500,1450,433,3.38,7,6+7,0,83819,7422,18201,311,11262,0,-777474.4784,-1119337.784
Údraž,9,1469,1400,1500,1450,405,3.61,8,8,0,89931,11645,19901,14386,2195,0,-763081.7366,-1130638.543
Rudolfov,10,1554,1400,1500,1450,478,2.74,7,6+7,0,121942,5338,19771,6658,5789,1,-750721.7262,-1164706.293
Staré Město pod Landštejnem,12,1495,1400,1500,1450,544,4.3,6,6+7,0,134648,7173,27232,9459,30906,1,-698852.8095,-1170291.647
Košice,13,1404,1400,1500,1450,454,2.47,8,8,0,87983,7682,31290,3805,25944,0,-730666.3095,-1130162.293
Porešín,15,1488,1400,1500,1450,512,4.37,7,6+7,0,61156,9855,9142,19272,13059,0,-755312.247,-1102886.397
Záluží,16,1545,1400,1500,1450,533,3.14,7,6+7,0,63078,10133,9940,13622,7648,0,-761111.9137,-1103386.459
Klisín,17,1463,1450,1500,1475,558,3.58,7,6+7,0,65548,5882,5472,17334,10762,0,-757897.2262,-1106810.168
Škrovád,18,1417,1400,1500,1450,277,2.49,7,6+7,1,101692,5078,9984,4555,15359,0,-646467.9553,-1075562.876
Suchá Lhota,19,1559,1400,1500,1450,426,2.73,7,6+7,0,127793,8569,10066,1491,20784,0,-621081.1844,-1081912.876
Drahouš,20,1404,1400,1500,1450,531,2.99,7,6+7,0,67650,18347,20106,4328,16922,0,-809882.5596,-1034182.042
Háje,21,1603,1450,1500,1475,576,3.91,6,6+7,0,53371,20931,18043,1927,12358,0,-775839.945,-1084945.001
Ostrov,24,1411,1400,1500,1450,366,4.85,7,6+7,0,56402,2960,3035,13304,15666,0,-718361.8616,-1093848.23
Vřešímy,25,1415,1400,1500,1450,402,4.67,7,6+7,0,26635,14712,11368,9090,5600,0,-725955.4033,-1063643.397
Přepeře,26,1457,1400,1500,1450,286,2.49,8,8,1,64356,5310,12647,12432,31620,0,-689146.5699,-1007501.459
Sklenařice,27,1561,1400,1500,1450,603,9.22,6,6+7,0,97280,21055,37179,32198,13068,0,-665582.7782,-983868.8758
Peřimov,28,1654,1400,1500,1450,396,7.17,7,6+7,0,94392,20878,37452,35626,10918,0,-662185.5282,-993938.9174
Prachov,30,1533,1450,1500,1475,360,3.8,7,6+7,0,75763,4198,26494,25865,25565,0,-674679.1532,-1009886.678
Brdo,31,1542,1400,1500,1450,496,5.48,7,6+7,0,87475,10681,37208,23589,14134,0,-662807.299,-1007650.949
Lány,32,1748,1400,1500,1450,316,4.2,8,8,0,90156,14549,37105,16115,13111,0,-657465.3615,-1013969.199
Kukleny,33,1547,1400,1500,1450,238,0.77,9,9+10+11,1,98574,3215,6143,11741,2426,0,-644238.8407,-1042697.657
Slatina nad Úpou,34,1545,1400,1500,1450,377,4.18,7,6+7,0,122095,9948,16989,11413,11643,0,-623519.3198,-1017011.907
Jestřebí,35,1459,1400,1500,1450,446,6.51,6,6+7,0,129310,6270,17419,272,17928,0,-614332.9865,-1028386.345
Sendraž,36,1403,1400,1500,1450,543,6.98,6,6+7,0,130824,6137,18786,511,19381,0,-612864.549,-1027904.803
Vyhnánov,39,1562,1400,1500,1450,288,3.79,8,8,0,131632,7007,21949,26295,30119,0,-612023.174,-1057891.355
Jáchymov,40,1516,1500,1600,1550,737,10.67,5,5,0,112174,7831,24568,4570,9650,1,-844607.7992,-995896.8341
Branov,41,1551,1500,1700,1600,315,8.33,7,6+7,0,42252,12989,26536,7943,1053,0,-784997.1741,-1045405.667
Byšičky (staré),42,1546,1500,1600,1550,174,1.4,9,9+10+11,1,28782,3864,14008,7555,1042,0,-714821.7366,-1036317.23
Stříbrné Hory,43,1521,1500,1600,1550,477,3.43,7,6+7,0,106136,4571,18345,7716,509,1,-659119.0074,-1108291.834
Dřevíkov,44,1542,1500,1600,1550,569,3.1,6,6+7,0,107245,12377,16888,19061,12381,0,-647181.0073,-1091560.907
Jistec,45,1770,1500,1600,1550,376,3.91,8,8,0,80408,8719,17948,4318,6797,0,-773231.1533,-1117453.032
